Types of use,Baden-Württemberg (Area in sq km),Bayern (Area in sq km),Berlin (Area in sq km),Brandenburg (Area in sq km),Bremen (Area in sq km),Hamburg (Area in sq km),Hessen (Area in sq km),Mecklenburg-Vorpommern (Area in sq km),Niedersachsen (Area in sq km),Nordrhein-Westfalen (Area in sq km),Rheinland-Pfalz (Area in sq km),Saarland (Area in sq km),Sachsen (Area in sq km),Sachsen-Anhalt (Area in sq km),Schleswig-Holstein (Area in sq km),Thüringen (Area in sq km),Year
Water body,390.2,1212.63,58.86,991.5,49.22,61.27,292.66,1330.86,1035.04,636.14,281.92,25.73,438.54,446.27,765.04,199.21,2017
Body of running water,282.55,501.58,30.2,339.12,39.13,42.75,218.09,199.47,662.73,345.46,219.16,20.5,145.92,243.01,274.61,103.86,2017
Port basin,5.17,1.69,0.6,0.71,5.67,7.32,1.34,6.03,11.95,8.16,4.49,0.11,0.53,1.86,18.02,0.0,2017
Body of standing water,102.48,709.35,28.07,651.67,4.42,6.94,73.23,934.87,335.59,282.52,58.27,5.11,292.09,201.4,357.24,95.35,2017
Sea,0.0,0.0,0.0,0.0,0.0,4.26,0.0,190.5,24.77,0.0,0.0,0.0,0.0,0.0,115.17,0.0,2017
Housing area,3304.79,5348.32,493.14,2010.93,184.96,350.73,1966.98,1289.5,4465.71,5657.98,1693.47,393.48,1881.86,1563.99,1424.36,1237.77,2018
Residential building area,1547.74,2164.75,219.58,650.01,69.0,168.03,918.84,384.81,2048.55,2435.76,686.14,203.86,862.82,370.3,682.59,338.72,2018
Industrial and commercial area,732.91,913.13,66.63,447.65,51.64,67.3,342.22,224.25,799.83,1023.88,291.65,75.76,349.35,305.36,200.07,277.25,2018
Industry and commerce,520.14,480.05,36.15,307.03,35.12,44.61,212.17,146.97,463.15,657.24,180.64,54.76,225.83,166.4,110.28,182.94,2018
Stockpile,14.07,3.03,0.07,9.43,0.56,0.04,9.35,0.48,11.58,40.69,6.37,5.53,20.32,25.65,2.11,6.62,2018
Mining company,0.0,0.06,0.0,0.0,0.0,0.0,0.05,0.0,0.12,7.06,0.01,0.0,0.0,1.32,0.0,2.7,2018
"Open-cast mine, pit, quarry",70.03,155.56,0.06,296.32,0.05,0.24,42.35,55.03,221.02,195.87,46.96,5.86,214.13,98.04,45.36,38.29,2018
Mixed-use area,359.47,1208.76,31.41,245.36,7.85,18.71,244.25,173.81,614.58,698.26,179.39,38.37,57.24,149.06,225.75,138.63,2018
Area with special functional character,166.7,303.26,44.08,68.85,13.25,23.79,121.06,66.53,193.18,322.06,104.2,24.09,83.38,80.2,68.61,43.71,2018
"Sports, leisure and recreation area",376.94,557.83,120.16,269.77,39.45,64.23,259.4,370.82,533.75,844.55,357.22,33.51,277.29,515.81,186.56,380.64,2018
Public park,166.18,196.42,95.78,132.22,31.16,50.13,122.2,299.95,276.53,542.51,239.21,12.02,117.95,438.1,86.33,295.66,2018
Cemetery,36.93,41.95,11.15,23.55,3.16,8.38,29.47,13.78,43.1,89.85,21.53,6.49,17.34,18.23,13.32,11.22,2018
Transport,1984.76,3319.73,135.51,1103.84,51.97,94.47,1441.62,705.42,2468.12,2385.39,1201.48,161.89,810.49,791.5,690.25,700.58,2018
Road transport,983.42,1742.38,101.21,679.99,30.08,66.7,582.34,361.0,1329.38,1316.49,511.71,115.3,476.4,371.43,453.37,305.64,2018
Path,824.11,1302.65,5.58,248.14,8.34,5.85,726.17,236.94,931.81,798.5,586.58,26.47,197.55,316.18,161.46,321.38,2018
Square,37.48,57.2,3.79,16.57,1.57,1.65,23.35,12.07,41.0,64.18,30.67,3.68,16.3,15.15,14.46,9.67,2018
Rail transport,111.35,160.54,20.23,109.16,6.97,10.64,81.04,57.15,126.31,153.75,53.68,14.82,100.41,76.18,33.87,54.36,2018
Air transport,27.94,53.48,4.58,48.8,2.92,9.55,27.99,35.62,35.43,49.06,17.82,1.6,19.84,10.69,23.73,9.53,2018
Waterways transport,0.45,3.48,0.12,1.18,2.09,0.08,0.73,2.64,4.19,3.41,1.02,0.01,0.0,1.87,3.36,0.0,2018
Vegetation,30068.01,60657.22,203.99,25541.15,133.87,248.33,17414.09,19965.32,39758.13,25441.9,16679.19,1990.0,15319.34,17650.54,12924.51,14069.13,2018
Agriculture,16135.63,32733.2,35.99,14449.75,118.0,173.73,8797.21,14404.34,27728.57,16147.71,8138.43,1103.2,10008.83,12350.2,10855.32,8444.82,2018
Forest,13527.14,24901.03,157.74,10320.08,4.56,40.01,8400.34,4936.29,10306.35,8486.83,8058.63,856.06,4951.99,4570.0,1624.03,5404.87,2018
